Year,Inch,Centimeter,Region
2010,2,5,Global
2020,4,11,Global
2030,7,18,Global
2040,10,26,Global
2050,14,36,Global
2060,19,47,Global
2070,23,59,Global
2080,28,72,Global
2090,34,86,Global
2100,40,101,Global
2120,53,134,Global
2150,76,192,Global
2200,122,309,Global
2010,4,10,East Coast
2020,7,19,East Coast
2030,12,30,East Coast
2040,16,41,East Coast
2050,21,54,East Coast
2060,27,69,East Coast
2070,33,85,East Coast
2080,40,102,East Coast
2090,47,120,East Coast
2100,55,139,East Coast
2120,65,164,East Coast
2150,89,227,East Coast
2200,137,349,East Coast
2010,4,11,NYC
2020,9,23,NYC
2030,13,34,NYC
2040,19,47,NYC
2050,24,60,NYC
2060,30,76,NYC
2070,37,93,NYC
2080,44,111,NYC
2090,51,130,NYC
2100,59,150,NYC
2120,69,176,NYC
2150,94,238,NYC
2200,141,359,NYC
